POINT;MSE_ARIMA;MAE_ARIMA;MAPE_ARIMA;R^2_ARIMA;MSE_HYB;MAE_HYB;MAPE_HYB;R^2_HYB;MSE_DIF;MAE_DIF;MAPE_DIF;R^2_DIF
76.64_12.72;0.00039376168556667056;0.016781274624766942;35.904;-0.32485335676752003;0.00025795623808635884;0.013766228797085592;45.059;0.13207861390574704;-0.00013580544748031172;-0.0030150458276813497;9.154999999999994;-0.19277474286177299
76.44_12.72;0.00039376168556667056;0.016781274624766942;35.904;-0.32485335676752003;0.00020475034008091928;0.012066207460856128;40.085;0.31109555525922916;-0.00018901134548575128;-0.004715067163910814;4.180999999999997;-0.013757801508290868
76.24_12.72;0.000540555607433731;0.02038565415526941;40.164;-1.2191281871563815;0.00023585093246111617;0.012662744154815489;33.677;0.0317676017157168;-0.00030470467497261484;-0.007722910000453923;-6.487000000000002;-1.1873605854406648
76.04_12.72;0.0005308356797474063;0.020157434384420206;39.932;-1.0994417147599962;0.00024731962761130507;0.012736657395635332;31.174;0.02185711530702905;-0.0002835160521361012;-0.007420776988784874;-8.758000000000003;-1.0775845994529671
75.84_12.72;0.00027407426288184934;0.013874289924444791;37.115;-0.08621905502753835;0.00013273498252376872;0.009058512991142773;35.647;0.4739408736521199;-0.00014133928035808062;-0.004815776933302018;-1.4680000000000035;0.38772181862458155
75.64_12.72;0.00027407426288184934;0.013874289924444791;37.115;-0.08621905502753835;0.0001954161921293978;0.011196622939446144;50.456;0.22552088868198616;-7.865807075245154e-05;-0.0026776669849986473;13.341000000000001;0.13930183365444782
75.44_12.72;0.00027407426288184934;0.013874289924444791;37.115;-0.08621905502753835;0.00018794025308220674;0.01092762913445466;49.103;0.255149746794738;-8.61340097996426e-05;-0.002946660789990131;11.988;0.16893069176719966
75.24_12.72;0.00016866294432395056;0.010375143352587945;29.298;0.16987506987644763;0.00019528298154446134;0.011067302518057928;44.76;0.03885662580660265;2.6620037220510785e-05;0.0006921591654699827;15.462;-0.13101844406984497
75.04_12.72;0.00016795366244544484;0.010235968569051072;25.172;0.13516385168819167;0.00019532752912721513;0.011147243569100747;39.277;-0.005791153881591571;2.7373866681770293e-05;0.0009112750000496751;14.105;-0.1293726978066001
74.84_12.72;0.00023239140143629364;0.012137908002522211;22.056;0.004616660182784282;0.00023837912182379561;0.012245863421505226;23.818;-0.02103005944783498;5.9877203875019795e-06;0.0001079554189830148;1.7620000000000005;0.0164133992650507
76.84_13.72;0.0006687033696680429;0.020897957389967237;123.028;-0.5235840996485794;0.00028764082387871257;0.014055357543447116;348.814;0.3446346982085987;-0.00038106254578933033;-0.006842599846520121;225.786;-0.17894940143998073
76.64_13.72;0.0004532248706441363;0.017606686462493498;118.645;-0.0966413231127401;0.00028247744636370636;0.013818377052212848;297.841;0.3165060865050504;-0.00017074742428042992;-0.00378830941028065;179.19600000000003;0.21986476339231031
76.44_13.72;0.0004532248706441363;0.017606686462493498;118.645;-0.0966413231127401;0.000306681570348369;0.014047262448400655;330.58;0.2579408040800122;-0.00014654330029576727;-0.0035594240140928435;211.935;0.1612994809672721
76.24_13.72;0.0005722894331526027;0.020652180394917806;47.06;-0.8056688755060899;0.00022896184606298643;0.012410124847695766;60.494;0.277587082401871;-0.0003433275870896162;-0.00824205554722204;13.433999999999997;-0.5280817931042189
76.04_13.72;0.0005722894331526027;0.020652180394917806;47.06;-0.8056688755060899;0.00021185128615709912;0.012216815571920007;49.408;0.33157376060129995;-0.0003604381469955036;-0.0084353648229978;2.347999999999999;-0.47409511490478995
75.84_13.72;0.000577660618259278;0.020796142161504976;47.65;-0.883360099783528;0.0001788339544968209;0.011045663199842324;38.544;0.4169435759689579;-0.00039882666376245713;-0.009750478961662652;-9.106000000000002;-0.4664165238145701
