POINT;MSE_ARIMA;MAE_ARIMA;MAPE_ARIMA;R^2_ARIMA;MSE_HYB;MAE_HYB;MAPE_HYB;R^2_HYB;MSE_DIF;MAE_DIF;MAPE_DIF;R^2_DIF;x;y
75.44_23.72;0.0027415842939669116;0.044808483942646575;95.742;-1.442240971166033;0.0010173605194048808;0.025168200290709104;36.43;0.09372126605590247;-0.0017242237745620308;-0.01964028365193747;-59.312000000000005;-1.3485197051101303;75.44;23.72
75.24_23.72;0.0021693356714766352;0.038960163806412346;86.516;-0.9802657723965804;0.0007914459434109627;0.021348708740434905;41.165;0.27753305629643277;-0.0013778897280656726;-0.01761145506597744;-45.351000000000006;-0.7027327161001476;75.24;23.72
75.04_23.72;0.002144925016743561;0.03874380886995813;80.655;-0.949744204990254;0.0007239791440170676;0.02001409895031466;34.814;0.34190047224860887;-0.0014209458727264936;-0.01872970991964347;-45.841;-0.6078437327416452;75.04;23.72
74.84_23.72;0.002031213983307573;0.037454140885797495;12.01;-0.7481162293905086;0.0007430306972118206;0.020342137658081717;-53.824;0.3605282203619783;-0.0012881832860957524;-0.017112003227715777;41.814;-0.3875880090285303;74.84;23.72
74.64_23.72;0.0019839059519658614;0.03701706117502921;66.307;-0.4942369780912841;0.0007966790185651763;0.02162132583604178;32.497;0.39995782157417326;-0.001187226933400685;-0.015395735338987429;-33.81;-0.09427915651711083;74.64;23.72
74.44_23.72;0.0019039448651435003;0.0359926679713563;170.963;-0.35420527163677273;0.0008830499608139392;0.022686488425046267;232.324;0.3719193586192674;-0.0010208949043295612;-0.013306179546310033;61.36100000000002;0.01771408698249466;74.44;23.72
74.24_23.72;0.001670311136536663;0.03275603138103359;328.74;0.03505710136876761;0.0008982500397518911;0.02306837565748588;609.814;0.48107871755497666;-0.0007720610967847718;-0.009687655723547711;281.07399999999996;0.44602161618620906;74.24;23.72
77.24_24.72;0.003664816846444728;0.057321191824469375;103.311;-6.582510600806041;0.0005622408881678425;0.01971489323337857;45.078;-0.1632770949727096;-0.0031025759582768856;-0.037606298591090805;-58.233000000000004;-6.419233505833331;77.24;24.72
77.04_24.72;0.003226578330678623;0.05165935396539848;-193.244;-2.7466807342051887;0.0006326804963837194;0.020655706358260785;-190.179;0.2653357260321968;-0.0025938978342949035;-0.031003647607137697;-3.0649999999999977;-2.4813450081729918;77.04;24.72
76.84_24.72;0.0036206208928575316;0.05500747383217615;119.78;-3.1136050459383133;0.0005532922049106369;0.017617502960361364;48.572;0.3713714654608852;-0.0030673286879468946;-0.03738997087181478;-71.208;-2.742233580477428;76.84;24.72
76.64_24.72;0.0036206208928575316;0.05500747383217615;119.78;-3.1136050459383133;0.0006776033731346747;0.01934548374370615;42.265;0.23013407441514722;-0.002943017519722857;-0.03566199008847;-77.515;-2.883470971523166;76.64;24.72
76.44_24.72;0.003872255914173151;0.05740131213464694;80.587;-3.8904478203601327;0.00047832561639307226;0.01676962161849015;63.208;0.39590085987087564;-0.0033939302977800787;-0.040631690516156796;-17.379000000000005;-3.494546960489257;76.44;24.72
76.24_24.72;0.0036449777956919518;0.054391804563527824;104.616;-2.7675958512411323;0.0005914036910617244;0.018022934397293317;48.124;0.38870132611333064;-0.003053574104630227;-0.03636887016623451;-56.492;-2.3788945251278015;76.24;24.72
76.04_24.72;0.0036449777956919518;0.054391804563527824;104.616;-2.7675958512411323;0.0006086472154653811;0.018540008263179003;45.389;0.37087772480613557;-0.0030363305802265706;-0.03585179630034882;-59.227;-2.3967181264349966;76.04;24.72
75.84_24.72;0.002736186279191235;0.04499208710744969;84.206;-1.6133562249102762;0.0006424768596386824;0.01986219701227371;9.967;0.38636454934864906;-0.0020937094195525524;-0.025129890095175977;-74.239;-1.226991675561627;75.84;24.72
75.64_24.72;0.002257583712026194;0.039770527760490046;93.95;-1.1220056481352811;0.0006915514005995185;0.020408874268725757;40.863;0.3499793738629631;-0.0015660323114266757;-0.01936165349176429;-53.087;-0.7720262742723181;75.64;24.72
75.44_24.72;0.001913567234349725;0.03610586577670002;78.588;-0.7426489259481768;0.0006616821224939012;0.019989157971125028;45.377;0.39741880014215947;-0.001251885111855824;-0.01611670780557499;-33.21099999999999;-0.3452301258060173;75.44;24.72
75.24_24.72;0.001913567234349725;0.03610586577670002;78.588;-0.7426489259481768;0.0006071105516325976;0.018952697133480537;44.778;0.44711608155546323;-0.0013064566827171275;-0.01715316864321948;-33.809999999999995;-0.29553284439271355;75.24;24.72
75.04_24.72;0.0018463138523374632;0.035537977520998985;61.338;-0.5457540032585491;0.0007005304411542303;0.02025769244803326;15.799;0.41350830875924693;-0.001145783411183233;-0.015280285072965725;-45.539;-0.13224569449930212;75.04;24.72
74.84_24.72;0.0019126307879586552;0.03619247121315173;81.614;-0.3791859021070796;0.0007819947736556542;0.021655320170844972;50.357;0.4361085400604724;-0.001130636014303001;-0.014537151042306757;-31.257000000000005;0.05692263795339281;74.84;24.72
74.64_24.72;0.0019126307879586552;0.03619247121315173;81.614;-0.3791859021070796;0.0008680050461631174;0.02273615599036185;52.127;0.37408707934494745;-0.0010446257417955377;-0.01345631522278988;-29.487000000000002;-0.005098822762132138;74.64;24.72
74.44_24.72;0.001785751610608878;0.034688553889259566;57.382;-0.04769085965330744;0.0009243750316047843;0.023742975273321996;28.625;0.4576741436207584;-0.0008613765790040938;-0.01094557861593757;-28.756999999999998;0.409983283967451;74.44;24.72
77.44_25.72;0.004494442294668508;0.06369049462526868;115.0;-7.62154423928526;0.00042793233286795944;0.016317315060284353;40.048;0.179111156100898;-0.004066509961800548;-0.04737317956498433;-74.952;-7.442433083184362;77.44;25.72
77.24_25.72;0.003809979737453868;0.05828870978404865;113.025;-6.4378863969164035;0.00046658706003888226;0.01746972620388629;47.515;0.0891233586560668;-0.003343392677414986;-0.040818983580162366;-65.51;-6.348763038260337;77.24;25.72
77.04_25.72;0.0034787024032236747;0.05467347872817059;109.592;-4.019834156841882;0.000641352987318916;0.020530065785249456;32.157;0.07451536258099822;-0.002837349415904759;-0.034143412942921135;-77.435;-3.945318794260884;77.04;25.72
76.84_25.72;0.0034787024032236747;0.05467347872817059;109.592;-4.019834156841882;0.0008275833023076691;0.024298749499049893;79.606;-0.19421854675072714;-0.0026511191009160055;-0.030374729229120698;-29.986000000000004;-3.825615610091155;76.84;25.72
