75.532663_17.902096;76.006222_24.893752;75.210923_11.252254;dates
-0.8669792413711548;-0.8904157280921936;-0.9459820985794067;2002-01-01
-0.9074068665504456;-0.9041652679443359;-0.9670838713645935;2002-01-02
-0.8998233675956726;-0.9248891472816467;-0.9466809034347534;2002-01-03
-0.8889920711517334;-0.8789613246917725;-0.9235547780990601;2002-01-04
-0.8793344497680664;-0.882885754108429;-0.898750364780426;2002-01-05
-0.870656430721283;-0.8602192997932434;-0.903539776802063;2002-01-06
-0.8725166916847229;-0.848349928855896;-0.9184905290603638;2002-01-07
-0.8670016527175903;-0.8459592461585999;-0.926650881767273;2002-01-08
-0.875725269317627;-0.8683173656463623;-0.938629150390625;2002-01-09
-0.8861328363418579;-0.8837220668792725;-0.9530431032180786;2002-01-10
-0.8855893611907959;-0.9057556390762329;-0.9604284763336182;2002-01-11
-0.8965550065040588;-0.8952361941337585;-0.967268705368042;2002-01-12
-0.9102552533149719;-0.8991316556930542;-0.9697495102882385;2002-01-13
-0.8881320953369141;-0.8872941732406616;-0.964095413684845;2002-01-14
-0.8705251812934875;-0.8569765090942383;-0.9594084620475769;2002-01-15
-0.8550713062286377;-0.8598748445510864;-0.9505624771118164;2002-01-16
-0.8402356505393982;-0.848156213760376;-0.9432564377784729;2002-01-17
-0.829587459564209;-0.8404092788696289;-0.9375014305114746;2002-01-18
-0.8311967849731445;-0.8350223302841187;-0.9344669580459595;2002-01-19
-0.8406938910484314;-0.8369109034538269;-0.9354195594787598;2002-01-20
-0.8522002696990967;-0.8444765210151672;-0.9349710941314697;2002-01-21
-0.8904932737350464;-0.9041129946708679;-0.9327001571655273;2002-01-22
-0.9249091148376465;-0.8639376163482666;-0.9299632906913757;2002-01-23
-0.9304292798042297;-0.9128786325454712;-0.9457883834838867;2002-01-24
-0.9137902855873108;-0.8911401629447937;-0.9575411081314087;2002-01-25
-0.9014496803283691;-0.8790378570556641;-0.968228816986084;2002-01-26
-0.8838215470314026;-0.8627707958221436;-0.9609379768371582;2002-01-27
-0.856979250907898;-0.855866014957428;-0.9466204047203064;2002-01-28
-0.8461825847625732;-0.860599160194397;-0.9379585981369019;2002-01-29
-0.8465072512626648;-0.8428184986114502;-0.9356408715248108;2002-01-30
-0.8373454213142395;-0.8485952019691467;-0.9247782826423645;2002-01-31
-0.837087094783783;-0.8379325866699219;-0.9118859171867371;2002-02-01
-0.8222359418869019;-0.8294546008110046;-0.8982184529304504;2002-02-02
-0.8127525448799133;-0.8125084638595581;-0.8867928385734558;2002-02-03
-0.8358004093170166;-0.791467547416687;-0.8871133923530579;2002-02-04
-0.8259304761886597;-0.8104123473167419;-0.906977117061615;2002-02-05
-0.8181532025337219;-0.8305916786193848;-0.9236242771148682;2002-02-06
-0.8323091864585876;-0.855452835559845;-0.9503875374794006;2002-02-07
-0.8520237803459167;-0.857759952545166;-0.9747381210327148;2002-02-08
-0.8628725409507751;-0.860350489616394;-0.9863666892051697;2002-02-09
-0.8769323229789734;-0.8787139058113098;-0.9918017983436584;2002-02-10
-0.8996627330780029;-0.8881103992462158;-0.9923989176750183;2002-02-11
-0.889694333076477;-0.9005138278007507;-0.98598712682724;2002-02-12
-0.8738820552825928;-0.9285773038864136;-0.9673328399658203;2002-02-13
-0.8761706352233887;-0.9080139994621277;-0.9647970199584961;2002-02-14
-0.8735855221748352;-0.9207490086555481;-0.9638320207595825;2002-02-15
-0.8684225082397461;-0.935539186000824;-0.9721524119377136;2002-02-16
-0.8779659867286682;-0.9316419363021851;-0.9830624461174011;2002-02-17
-0.8842082619667053;-0.9322263598442078;-1.0040043592453003;2002-02-18
-0.8946912884712219;-0.9418925642967224;-1.0292130708694458;2002-02-19
-0.914849579334259;-0.9699906706809998;-1.0512940883636475;2002-02-20
-0.9468806385993958;-0.9990224242210388;-1.0714936256408691;2002-02-21
-0.9623188972473145;-1.0074756145477295;-1.0867443084716797;2002-02-22
-0.9885245561599731;-0.9910708665847778;-1.0938712358474731;2002-02-23
-1.020159125328064;-1.0646154880523682;-1.1016733646392822;2002-02-24
-1.0200496912002563;-1.0401667356491089;-1.1139360666275024;2002-02-25
-0.9978491067886353;-1.008948802947998;-1.095651388168335;2002-02-26
-0.9771092534065247;-1.0087531805038452;-1.0729659795761108;2002-02-27
-0.9462853074073792;-0.9750766158103943;-1.053148627281189;2002-02-28
-0.9358130097389221;-0.9785681366920471;-1.047224521636963;2002-03-01
-0.9392999410629272;-0.9803385138511658;-1.0389316082000732;2002-03-02
-0.938774824142456;-0.9960325956344604;-1.0305567979812622;2002-03-03
-0.9256584644317627;-0.9771794676780701;-1.0259486436843872;2002-03-04
-0.9193611741065979;-0.9631409645080566;-1.0301885604858398;2002-03-05
-0.9313246011734009;-0.9681369066238403;-1.0392553806304932;2002-03-06
-0.9290687441825867;-0.9693542122840881;-1.0411089658737183;2002-03-07
-0.9264658689498901;-0.9732164740562439;-1.0456117391586304;2002-03-08
-0.9310987591743469;-0.9545130729675293;-1.050405740737915;2002-03-09
-0.9285122156143188;-0.9576581120491028;-1.046801209449768;2002-03-10
-0.9368333220481873;-0.9536656737327576;-1.0420949459075928;2002-03-11
-0.9360383749008179;-0.9449933767318726;-1.0384716987609863;2002-03-12
-0.932267963886261;-0.9512211680412292;-1.028524398803711;2002-03-13
-0.9421961307525635;-0.9610886573791504;-1.0229321718215942;2002-03-14
-0.9390581250190735;-0.989767849445343;-1.0083942413330078;2002-03-15
