76.04_8.72,76.84_10.72,76.04_10.72,75.24_10.72,76.84_12.72,76.04_12.72,75.24_12.72,76.04_14.72,75.24_14.72,76.04_16.72,75.24_16.72,74.44_16.72,76.84_18.72,76.04_18.72,75.24_18.72,76.84_20.72,76.04_20.72,75.24_20.72,74.44_20.72,73.64_20.72,76.04_22.72,75.24_22.72,74.44_22.72,76.84_24.72,76.04_24.72,75.24_24.72,74.44_24.72,77.64_26.72,76.84_26.72,76.04_26.72,75.24_26.72,77.64_28.72,76.84_28.72,76.04_28.72,76.84_30.72,76.84_32.72,Date,76.04_8.72_nemo,76.84_10.72_nemo,76.04_10.72_nemo,75.24_10.72_nemo,76.84_12.72_nemo,76.04_12.72_nemo,75.24_12.72_nemo,76.04_14.72_nemo,75.24_14.72_nemo,76.04_16.72_nemo,75.24_16.72_nemo,74.44_16.72_nemo,76.84_18.72_nemo,76.04_18.72_nemo,75.24_18.72_nemo,76.84_20.72_nemo,76.04_20.72_nemo,75.24_20.72_nemo,74.44_20.72_nemo,73.64_20.72_nemo,76.04_22.72_nemo,75.24_22.72_nemo,74.44_22.72_nemo,76.84_24.72_nemo,76.04_24.72_nemo,75.24_24.72_nemo,74.44_24.72_nemo,77.64_26.72_nemo,76.84_26.72_nemo,76.04_26.72_nemo,75.24_26.72_nemo,77.64_28.72_nemo,76.84_28.72_nemo,76.04_28.72_nemo,76.84_30.72_nemo,76.84_32.72_nemo
-0.5140263438224792,-0.4909041225910187,-0.5050132870674133,-0.5045411586761475,-0.4740093648433685,-0.4758000075817108,-0.4667839407920837,-0.4664097130298615,-0.4403078854084015,-0.4756712913513184,-0.4584171772003174,-0.4462432563304901,-0.476159393787384,-0.4677414298057556,-0.4696981608867645,-0.4717056155204773,-0.4562322795391083,-0.4619389772415161,-0.476935088634491,-0.4328603744506836,-0.4569674730300903,-0.4746171236038208,-0.4826924502849579,-0.462403953075409,-0.4736870527267456,-0.4896999299526215,-0.4607978761196137,-0.4632999002933502,-0.4838811457157135,-0.4886764883995056,-0.4822780787944794,-0.4769657552242279,-0.4872914552688599,-0.484595000743866,-0.4663872718811035,-0.4673630297183991,2002-01-01,-0.9429926872253418,-0.9540661573410034,-0.9324262738227844,-0.9484321475028992,-0.9254006147384644,-0.8350763320922852,-0.9378270506858826,-0.8793251514434814,-0.8551689386367798,-0.8717499375343323,-0.8649730086326599,-0.8468536734580994,-0.8764435648918152,-0.8613837957382202,-0.8633155822753906,-0.8746559023857117,-0.8392058610916138,-0.8433158397674559,-0.8808215856552124,-0.8561297059059143,-0.8355050086975098,-0.8700559139251709,-0.8931943774223328,-0.8226810693740845,-0.8818144798278809,-0.8993535041809082,-0.8731575608253479,-0.8726392984390259,-0.8794806599617004,-0.9018659591674804,-0.8936450481414795,-0.8869449496269226,-0.9082123637199402,-0.9088920354843141,-0.8655326962471008,-0.8571264743804932
-0.4891364872455597,-0.4621579349040985,-0.4744943976402282,-0.4763345718383789,-0.4419017434120178,-0.4408051669597626,-0.43328920006752014,-0.4268049597740173,-0.40283650159835815,-0.4362964630126953,-0.4222359359264374,-0.4091075658798218,-0.44103288650512695,-0.4284510612487793,-0.4355907142162323,-0.4367976486682892,-0.4236617088317871,-0.43538662791252136,-0.4390578269958496,-0.3739069700241089,-0.41993603110313416,-0.4404866993427277,-0.4360091984272003,-0.4207005798816681,-0.42938295006752014,-0.4430987536907196,-0.3973183929920197,-0.4210489094257355,-0.4420156478881836,-0.4369664490222931,-0.42485567927360535,-0.4222612380981445,-0.43204599618911743,-0.4191603064537048,-0.39748939871788025,-0.383588582277298,2002-01-02,-0.9429926872253418,-0.9540661573410034,-0.9324262738227844,-0.9484321475028992,-0.9254006147384644,-0.8350763320922852,-0.9378270506858826,-0.8793251514434814,-0.8551689386367798,-0.8717499375343323,-0.8649730086326599,-0.8468536734580994,-0.8764435648918152,-0.8613837957382202,-0.8633155822753906,-0.8746559023857117,-0.8392058610916138,-0.8433158397674559,-0.8808215856552124,-0.8561297059059143,-0.8355050086975098,-0.8700559139251709,-0.8931943774223328,-0.8226810693740845,-0.8818144798278809,-0.8993535041809082,-0.8731575608253479,-0.8726392984390259,-0.8794806599617004,-0.9018659591674804,-0.8936450481414795,-0.8869449496269226,-0.9082123637199402,-0.9088920354843141,-0.8655326962471008,-0.8571264743804932
-0.4799166023731232,-0.4522051215171814,-0.4627081155776978,-0.46562859416008,-0.43379566073417664,-0.4286397695541382,-0.42287248373031616,-0.421626091003418,-0.3962351381778717,-0.4441599845886231,-0.4404299557209015,-0.4285426139831543,-0.4469721019268036,-0.4447587132453919,-0.476939857006073,-0.4444632828235626,-0.4483669698238373,-0.473477154970169,-0.4941145777702332,-0.43498241901397705,-0.4446157813072205,-0.4755387306213379,-0.49681740999221796,-0.4544732570648194,-0.4584061503410339,-0.490052342414856,-0.4706090688705444,-0.42200636863708496,-0.4576037228107453,-0.4686528146266937,-0.4930467009544373,-0.4352439343929291,-0.4502083063125609,-0.4648859202861786,-0.4142488837242127,-0.4164251983165741,2002-01-03,-0.954142689704895,-0.9785547256469728,-0.9381546974182128,-0.9688293933868408,-0.9181135892868042,-0.839381754398346,-0.9658218026161194,-0.9124587774276732,-0.8699125051498413,-0.9040085673332214,-0.8988909721374512,-0.8931309580802917,-0.9221034049987792,-0.9173238277435304,-0.8859205842018127,-0.9193269610404968,-0.918270707130432,-0.8905087113380432,-0.9027781486511229,-0.8610440492630005,-0.899532675743103,-0.8997057676315308,-0.9096250534057616,-0.8987012505531311,-0.899617075920105,-0.9171112775802612,-0.8857424259185791,-0.891229510307312,-0.9091999530792236,-0.9192060828208924,-0.910055696964264,-0.8946163058280945,-0.9212217330932616,-0.924535036087036,-0.8768075108528137,-0.8817238807678223
-0.4647411108016968,-0.4373627603054047,-0.4454877972602844,-0.4500807225704193,-0.4232058823108673,-0.4131737649440765,-0.4076842963695526,-0.41091519594192505,-0.3826434910297394,-0.4436052441596985,-0.4196103811264038,-0.41292184591293335,-0.4595662653446198,-0.4361460208892822,-0.44386640191078186,-0.44888025522232056,-0.4394668936729431,-0.4438048601150513,-0.4456214308738709,-0.3826637268066406,-0.4422821402549744,-0.4466421902179718,-0.4536096155643463,-0.4461997449398041,-0.4526412785053253,-0.4565593600273132,-0.4269390404224396,-0.43263036012649536,-0.4523288607597351,-0.4656513631343842,-0.45209908485412603,-0.44504550099372864,-0.4607636332511902,-0.4581534564495087,-0.4547979831695557,-0.4558697938919067,2002-01-04,-0.9316319823265076,-0.947024941444397,-0.9136208891868592,-0.952111542224884,-0.8898147940635681,-0.8300979733467102,-0.9425989389419556,-0.8825202584266663,-0.8445139527320862,-0.8846825361251831,-0.8995738029479979,-0.8955415487289429,-0.898405909538269,-0.9014892578125,-0.8789236545562744,-0.8943372964859009,-0.9060925245285034,-0.8993036150932312,-0.9076713323593141,-0.8485280275344849,-0.9001420140266418,-0.9205424189567566,-0.924747884273529,-0.902929425239563,-0.9185508489608764,-0.9339627027511596,-0.8839597105979919,-0.8895406126976013,-0.9078320860862732,-0.9333034753799438,-0.9217247962951659,-0.8895254731178284,-0.9284058809280396,-0.9331213235855104,-0.8965317606925964,-0.8937684893608093
-0.4718316793441773,-0.4469913244247437,-0.4578376412391663,-0.4642784297466278,-0.4410225450992584,-0.430873453617096,-0.4259946048259735,-0.4313740432262421,-0.4036985039710999,-0.4520246684551239,-0.44767189025878906,-0.4333358108997345,-0.4544751048088074,-0.4526950120925903,-0.4756698608398438,-0.4446668326854706,-0.4654525518417358,-0.477156937122345,-0.4630014598369598,-0.3948405683040619,-0.44583234190940857,-0.4584718644618988,-0.4518202543258667,-0.4362919628620148,-0.43083417415618896,-0.4521894454956055,-0.4097181558609009,-0.4202737510204315,-0.4348736107349396,-0.4403193891048432,-0.4408642053604126,-0.4247022569179535,-0.4364857375621796,-0.4302787482738495,-0.4171142578125,-0.4006955623626709,2002-01-05,-0.9160447716712952,-0.9322234988212584,-0.8910077810287476,-0.9335333108901978,-0.8750650882720947,-0.8150771856307983,-0.916859209537506,-0.8639845252037048,-0.8339745402336121,-0.8836106061935425,-0.8815910220146179,-0.8849964737892151,-0.9051584005355836,-0.8982089757919312,-0.8732783198356628,-0.8945367932319641,-0.9071013927459716,-0.8781866431236267,-0.8757110238075256,-0.8199495673179626,-0.8811120986938477,-0.8788369297981262,-0.8961780071258545,-0.8859859108924866,-0.8759598135948181,-0.8922367691993713,-0.8645420670509338,-0.8777251839637756,-0.8896488547325134,-0.8953134417533875,-0.897191047668457,-0.8778250217437744,-0.9064094424247742,-0.9040746092796326,-0.8823980689048767,-0.8698400855064392
-0.4759610593318939,-0.4465145766735077,-0.4591938555240631,-0.4681937396526337,-0.4331139922142029,-0.427586555480957,-0.4234753549098969,-0.4160412549972534,-0.3935460150241852,-0.4217226803302765,-0.40041714906692505,-0.38606923818588257,-0.4276401400566101,-0.4116766154766083,-0.3913902342319489,-0.4223334789276123,-0.4025344252586365,-0.4012643694877625,-0.3978355526924133,-0.3449165225028992,-0.4022597670555115,-0.40466082096099854,-0.3959752023220062,-0.4203442931175232,-0.4137037396430969,-0.3990196287631989,-0.3503406047821045,-0.4097604155540466,-0.4353532791137695,-0.3947687745094299,-0.3773964047431946,-0.40261694788932795,-0.3955931961536408,-0.3665593862533569,-0.3141254186630249,-0.2945946753025055,2002-01-06,-0.8916307091712952,-0.9121045470237732,-0.8484475016593933,-0.9109410643577576,-0.8525213599205017,-0.7904937863349915,-0.8935955762863159,-0.8563885688781738,-0.8256872892379761,-0.8675917387008667,-0.8681679964065552,-0.8731054663658142,-0.8747153878211975,-0.8781763911247253,-0.8723270297050476,-0.8656175136566162,-0.8911792635917664,-0.8864727616310121,-0.8849416971206665,-0.8243209719657898,-0.8723580837249756,-0.8865428566932678,-0.8983723521232605,-0.8791427612304688,-0.8783292770385742,-0.8938025236129761,-0.8704081177711487,-0.8674801588058472,-0.8715600967407227,-0.9000949263572693,-0.9000568389892578,-0.871890664100647,-0.9016090035438538,-0.9027429819107056,-0.8822230100631714,-0.8708707690238953
-0.5036455392837524,-0.471340000629425,-0.4819628596305847,-0.4922339916229248,-0.4515725374221802,-0.4447528719902039,-0.4427419602870941,-0.43043702840805054,-0.4070369303226471,-0.4567916989326477,-0.4045548439025879,-0.3864672780036926,-0.4877714514732361,-0.4319301247596741,-0.40321469306945795,-0.4840155839920044,-0.4055851101875305,-0.4206174314022064,-0.4371614456176758,-0.3589824736118317,-0.4281890094280243,-0.4580047130584717,-0.4313530921936035,-0.44314202666282654,-0.4680109918117523,-0.4476426243782044,-0.3739761412143707,-0.4598467648029328,-0.49474951624870295,-0.4298060536384583,-0.40521082282066345,-0.44897112250328064,-0.4394400417804718,-0.4041560590267181,-0.3199692964553833,-0.3246769309043884,2002-01-07,-0.8964553475379944,-0.9197865128517152,-0.8298481106758118,-0.9166281819343568,-0.8571949601173401,-0.8002182245254517,-0.8987351059913635,-0.8540432453155518,-0.8288898468017578,-0.8687415719032288,-0.8580840826034546,-0.8748602867126465,-0.8547983765602112,-0.8739362359046936,-0.8570632934570312,-0.8583927750587463,-0.8797616958618164,-0.8566399812698364,-0.8564119935035706,-0.8037420511245728,-0.8544600009918213,-0.8583323955535889,-0.8679234385490417,-0.8665088415145874,-0.8577712178230286,-0.8680144548416138,-0.8536920547485352,-0.8666042685508728,-0.8713088631629944,-0.8727347850799559,-0.8762803077697754,-0.8665717840194702,-0.8879114985466003,-0.876171350479126,-0.8533231616020203,-0.8442721962928772
-0.5054291486740112,-0.4702012240886688,-0.4854057729244232,-0.4951092898845673,-0.4570307433605194,-0.4505420029163361,-0.44756731390953053,-0.4372957944869995,-0.416706919670105,-0.4616023004055023,-0.4360562860965729,-0.423137366771698,-0.4743132591247559,-0.4360392689704895,-0.4776734411716461,-0.4701031744480133,-0.4302468001842499,-0.4571425914764404,-0.4950802624225617,-0.40250131487846375,-0.4243242740631104,-0.4826140701770783,-0.4849237203598023,-0.4070229530334473,-0.4639652073383331,-0.498058170080185,-0.4179465770721436,-0.4492089748382568,-0.4672120213508606,-0.465853214263916,-0.4705246984958649,-0.4656036198139191,-0.4672572910785675,-0.4740457236766815,-0.4040541648864746,-0.4575486183166504,2002-01-08,-0.9142791032791138,-0.9355369806289672,-0.8341773152351379,-0.9321364760398864,-0.8649337887763977,-0.8252815008163452,-0.9128596186637878,-0.8566714525222778,-0.8328232169151306,-0.8820009231567383,-0.856681227684021,-0.8703259229660034,-0.88111811876297,-0.8806222677230835,-0.8594317436218262,-0.8851771354675293,-0.8896461725234985,-0.86002117395401,-0.8361588120460509,-0.7810599207878113,-0.8634471893310547,-0.8527546525001526,-0.8370113372802734,-0.8665921688079834,-0.8493077158927917,-0.8385562300682068,-0.8282278776168823,-0.8577946424484253,-0.8737884163856506,-0.8644852638244629,-0.8506975173950195,-0.8537003993988037,-0.8724429607391357,-0.8641386032104492,-0.8143489360809326,-0.8112645745277405
-0.4936390817165375,-0.4615983068943024,-0.4754754900932312,-0.4856988787651062,-0.4431290924549103,-0.43793109059333796,-0.4362210929393768,-0.4206166863441467,-0.4038757383823395,-0.4410209953784943,-0.4341115355491638,-0.4271847307682037,-0.454484760761261,-0.4372644722461701,-0.4692197144031525,-0.444051593542099,-0.4435677230358124,-0.4511393010616303,-0.46091082692146296,-0.3984748125076294,-0.4342174232006073,-0.4481928050518036,-0.469679981470108,-0.4285178482532501,-0.4399031400680542,-0.463332325220108,-0.409074604511261,-0.4278280735015869,-0.4397369921207428,-0.4586669206619263,-0.45669886469841,-0.44375598430633545,-0.4498050212860107,-0.4500030279159546,-0.4300858676433563,-0.44369414448738104,2002-01-09,-0.921499490737915,-0.9354448914527892,-0.8324218392372131,-0.9396116733551024,-0.8615383505821228,-0.8470569252967834,-0.9223309755325316,-0.8547666072845459,-0.8330634236335754,-0.8703114986419678,-0.8518244624137878,-0.8599075675010681,-0.872711718082428,-0.8616637587547302,-0.8547669649124146,-0.8733907341957092,-0.8659425377845764,-0.8484317660331726,-0.8287514448165894,-0.7701284885406494,-0.8448536396026611,-0.8513889312744141,-0.830875813961029,-0.8516401052474976,-0.8456221222877502,-0.8457066416740417,-0.8168280720710754,-0.8619601130485535,-0.8751809000968933,-0.8634046316146851,-0.8536832332611084,-0.872198760509491,-0.8731643557548523,-0.8717162013053894,-0.7978585362434387,-0.799993634223938
-0.5083606839179993,-0.4787119328975678,-0.4897580742835999,-0.5006811618804932,-0.4569484889507294,-0.4518261849880218,-0.4489694535732269,-0.43775710463523865,-0.4169751107692719,-0.4532054662704468,-0.4333248436450958,-0.4161299169063568,-0.4734189808368683,-0.452471375465393,-0.44351089000701904,-0.4632313847541809,-0.4581105411052704,-0.45659524202346796,-0.4528869688510895,-0.38929882645607,-0.4605882465839386,-0.4603226780891418,-0.4648649096488953,-0.4595112204551697,-0.4531145691871643,-0.4608197510242462,-0.40658068656921387,-0.4407922327518463,-0.4604558050632477,-0.4583088159561157,-0.4480308592319489,-0.4477921724319458,-0.4540564715862274,-0.4407000541687012,-0.4194867014884949,-0.4099509716033936,2002-01-10,-0.9327292442321776,-0.9476501345634459,-0.8408311605453491,-0.9507820010185242,-0.8660969138145447,-0.861242949962616,-0.9376235008239746,-0.8614671230316162,-0.8377660512924194,-0.875482439994812,-0.8674873113632202,-0.8778769969940186,-0.8695736527442932,-0.8744492530822754,-0.8730093836784363,-0.8674989938735962,-0.8801360726356506,-0.8634045720100403,-0.8624871373176575,-0.7885062694549559,-0.8602017164230347,-0.8664489388465881,-0.8675843477249146,-0.8600643277168274,-0.8659484982490541,-0.8796916007995605,-0.8388381004333496,-0.8736368417739868,-0.8836585879325867,-0.8791475892066956,-0.8765531778335571,-0.8913130760192871,-0.8969826102256775,-0.8817570805549622,-0.8159923553466797,-0.8269588351249695
