75.295924_18.454331;77.325956_29.460769;dates
-0.3523;-0.3224;2002-05-11
-0.35700000000000004;-0.322;2002-05-12
-0.36050000000000004;-0.3189;2002-05-13
-0.3648;-0.3168;2002-05-14
-0.3704;-0.3183;2002-05-15
-0.3733;-0.3175;2002-05-16
-0.37510000000000004;-0.3143;2002-05-17
-0.37260000000000004;-0.3129;2002-05-18
-0.367;-0.30710000000000004;2002-05-19
-0.36260000000000003;-0.3063;2002-05-20
-0.3569;-0.30460000000000004;2002-05-21
-0.3564;-0.3044;2002-05-22
-0.3514;-0.3039;2002-05-23
-0.34750000000000003;-0.3017;2002-05-24
-0.3446;-0.3015;2002-05-25
-0.3403;-0.29710000000000003;2002-05-26
-0.3383;-0.2936;2002-05-27
-0.3392;-0.29400000000000004;2002-05-28
-0.3386;-0.29050000000000004;2002-05-29
-0.34;-0.2868;2002-05-30
-0.3423;-0.2897;2002-05-31
-0.34500000000000003;-0.2901;2002-06-01
-0.34740000000000004;-0.28800000000000003;2002-06-02
-0.3498;-0.2904;2002-06-03
-0.34890000000000004;-0.2908;2002-06-04
-0.3482;-0.2931;2002-06-05
-0.34700000000000003;-0.2987;2002-06-06
-0.3472;-0.30310000000000004;2002-06-07
-0.34590000000000004;-0.3029;2002-06-08
-0.34850000000000003;-0.3035;2002-06-09
-0.3501;-0.3047;2002-06-10
-0.3531;-0.30360000000000004;2002-06-11
-0.3564;-0.30410000000000004;2002-06-12
-0.3556;-0.3052;2002-06-13
-0.3549;-0.3038;2002-06-14
-0.35660000000000003;-0.3028;2002-06-15
-0.3572;-0.30720000000000003;2002-06-16
-0.3554;-0.3039;2002-06-17
-0.3547;-0.3037;2002-06-18
-0.3559;-0.30820000000000003;2002-06-19
-0.3597;-0.30910000000000004;2002-06-20
-0.36460000000000004;-0.30820000000000003;2002-06-21
-0.373;-0.3133;2002-06-22
-0.3766;-0.3134;2002-06-23
-0.3798;-0.314;2002-06-24
-0.3816;-0.31170000000000003;2002-06-25
-0.3861;-0.3105;2002-06-26
-0.3816;-0.308;2002-06-27
-0.3815;-0.30860000000000004;2002-06-28
-0.38;-0.3111;2002-06-29
-0.3796;-0.308;2002-06-30
-0.379;-0.30820000000000003;2002-07-01
-0.3786;-0.30770000000000003;2002-07-02
-0.3754;-0.30770000000000003;2002-07-03
-0.37520000000000003;-0.30860000000000004;2002-07-04
-0.3765;-0.31010000000000004;2002-07-05
-0.37320000000000003;-0.30720000000000003;2002-07-06
-0.37320000000000003;-0.3085;2002-07-07
-0.3728;-0.30970000000000003;2002-07-08
-0.37270000000000003;-0.3094;2002-07-09
-0.3729;-0.3078;2002-07-10
-0.37320000000000003;-0.308;2002-07-11
-0.37270000000000003;-0.3079;2002-07-12
-0.3682;-0.3079;2002-07-13
-0.366;-0.3084;2002-07-14
-0.3633;-0.311;2002-07-15
-0.36210000000000003;-0.30960000000000004;2002-07-16
-0.35950000000000004;-0.3138;2002-07-17
-0.3563;-0.3141;2002-07-18
-0.3556;-0.3098;2002-07-19
-0.35750000000000004;-0.3054;2002-07-20
-0.3553;-0.3019;2002-07-21
-0.3513;-0.2949;2002-07-22
-0.3492;-0.2867;2002-07-23
-0.34750000000000003;-0.28190000000000004;2002-07-24
-0.3462;-0.2741;2002-07-25
-0.3491;-0.2701;2002-07-26
-0.3491;-0.2687;2002-07-27
-0.3488;-0.2649;2002-07-28
-0.34690000000000004;-0.2651;2002-07-29
-0.34690000000000004;-0.2677;2002-07-30
-0.3493;-0.2681;2002-07-31
-0.34690000000000004;-0.26780000000000004;2002-08-01
-0.3478;-0.2685;2002-08-02
-0.3528;-0.271;2002-08-03
-0.3531;-0.2705;2002-08-04
-0.35760000000000003;-0.2713;2002-08-05
-0.3609;-0.2711;2002-08-06
-0.36110000000000003;-0.2692;2002-08-07
-0.36510000000000004;-0.2706;2002-08-08
-0.3663;-0.271;2002-08-09
-0.3593;-0.2657;2002-08-10
-0.3526;-0.26580000000000004;2002-08-11
-0.34440000000000004;-0.26630000000000004;2002-08-12
-0.3397;-0.2629;2002-08-13
-0.3351;-0.2574;2002-08-14
-0.327;-0.2525;2002-08-15
-0.3244;-0.2499;2002-08-16
-0.3191;-0.24760000000000001;2002-08-17
-0.3196;-0.2426;2002-08-18
-0.3205;-0.2447;2002-08-19
-0.3168;-0.24400000000000002;2002-08-20
-0.31270000000000003;-0.2381;2002-08-21
-0.30910000000000004;-0.23820000000000002;2002-08-22
-0.3074;-0.2359;2002-08-23
-0.30810000000000004;-0.2315;2002-08-24
-0.3098;-0.23070000000000002;2002-08-25
-0.30770000000000003;-0.232;2002-08-26
-0.3125;-0.2308;2002-08-27
-0.3138;-0.23290000000000002;2002-08-28
-0.31220000000000003;-0.23170000000000002;2002-08-29
-0.3109;-0.23390000000000002;2002-08-30
-0.30760000000000004;-0.2369;2002-08-31
-0.3039;-0.23800000000000002;2002-09-01
-0.3009;-0.2384;2002-09-02
-0.2953;-0.2421;2002-09-03
-0.2887;-0.2419;2002-09-04
-0.2786;-0.2389;2002-09-05
-0.2723;-0.2409;2002-09-06
-0.2695;-0.2409;2002-09-07
-0.2631;-0.2376;2002-09-08
-0.26;-0.23820000000000002;2002-09-09
-0.2585;-0.23570000000000002;2002-09-10
-0.2576;-0.2333;2002-09-11
-0.2545;-0.2363;2002-09-12
-0.25070000000000003;-0.2313;2002-09-13
-0.2437;-0.2253;2002-09-14
-0.2364;-0.2205;2002-09-15
-0.23270000000000002;-0.2217;2002-09-16
-0.22920000000000001;-0.21680000000000002;2002-09-17
-0.2303;-0.2136;2002-09-18
-0.2316;-0.21300000000000002;2002-09-19
-0.2363;-0.2121;2002-09-20
-0.2353;-0.2109;2002-09-21
-0.2398;-0.2102;2002-09-22
-0.24300000000000002;-0.2079;2002-09-23
-0.2422;-0.2068;2002-09-24
-0.24130000000000001;-0.20700000000000002;2002-09-25
-0.23700000000000002;-0.2058;2002-09-26
-0.23340000000000002;-0.20500000000000002;2002-09-27
-0.2278;-0.2058;2002-09-28
-0.2207;-0.20400000000000001;2002-09-29
-0.21430000000000002;-0.2056;2002-09-30
-0.21000000000000002;-0.20470000000000002;2002-10-01
-0.2061;-0.2066;2002-10-02
-0.2013;-0.2058;2002-10-03
-0.2013;-0.20320000000000002;2002-10-04
-0.2025;-0.19990000000000002;2002-10-05
-0.2059;-0.1985;2002-10-06
-0.2162;-0.19790000000000002;2002-10-07
-0.2189;-0.1953;2002-10-08
-0.2258;-0.1963;2002-10-09
-0.22920000000000001;-0.195;2002-10-10
-0.23390000000000002;-0.1956;2002-10-11
-0.24050000000000002;-0.1951;2002-10-12
-0.24430000000000002;-0.1937;2002-10-13
-0.2504;-0.1923;2002-10-14
-0.2599;-0.1917;2002-10-15
-0.2667;-0.1907;2002-10-16
-0.2757;-0.1947;2002-10-17
-0.28290000000000004;-0.1922;2002-10-18
-0.2884;-0.1945;2002-10-19
-0.2926;-0.1967;2002-10-20
-0.2963;-0.1998;2002-10-21
-0.2972;-0.20370000000000002;2002-10-22
-0.3008;-0.2124;2002-10-23
-0.2987;-0.21880000000000002;2002-10-24
-0.2975;-0.222;2002-10-25
-0.2922;-0.23020000000000002;2002-10-26
-0.2903;-0.2356;2002-10-27
-0.2811;-0.23870000000000002;2002-10-28
-0.27690000000000003;-0.2422;2002-10-29
-0.27140000000000003;-0.24400000000000002;2002-10-30
-0.2687;-0.24630000000000002;2002-10-31
-0.27040000000000003;-0.2484;2002-11-01
-0.2728;-0.2514;2002-11-02
-0.2758;-0.24710000000000001;2002-11-03
-0.27540000000000003;-0.24500000000000002;2002-11-04
-0.2755;-0.24200000000000002;2002-11-05
-0.27140000000000003;-0.23820000000000002;2002-11-06
-0.2659;-0.2348;2002-11-07
-0.2582;-0.2321;2002-11-08
-0.2515;-0.2262;2002-11-09
-0.248;-0.22240000000000001;2002-11-10
-0.2432;-0.2218;2002-11-11
-0.2439;-0.2187;2002-11-12
-0.2464;-0.2154;2002-11-13
-0.2492;-0.2147;2002-11-14
-0.24830000000000002;-0.2131;2002-11-15
-0.2474;-0.21150000000000002;2002-11-16
-0.24400000000000002;-0.2097;2002-11-17
-0.2398;-0.2078;2002-11-18
-0.23500000000000001;-0.20320000000000002;2002-11-19
-0.23170000000000002;-0.1996;2002-11-20
-0.2313;-0.1981;2002-11-21
-0.2293;-0.19720000000000001;2002-11-22
-0.22940000000000002;-0.198;2002-11-23
-0.22970000000000002;-0.1938;2002-11-24
-0.22940000000000002;-0.19290000000000002;2002-11-25
-0.2316;-0.188;2002-11-26
-0.2325;-0.1898;2002-11-27
-0.2306;-0.1897;2002-11-28
-0.2303;-0.1894;2002-11-29
-0.22640000000000002;-0.19110000000000002;2002-11-30
-0.22130000000000002;-0.1908;2002-12-01
-0.2192;-0.18960000000000002;2002-12-02
-0.21530000000000002;-0.18910000000000002;2002-12-03
-0.21250000000000002;-0.18660000000000002;2002-12-04
-0.21380000000000002;-0.1879;2002-12-05
-0.21980000000000002;-0.18910000000000002;2002-12-06
-0.22610000000000002;-0.1892;2002-12-07
-0.2325;-0.18910000000000002;2002-12-08
-0.2381;-0.1925;2002-12-09
-0.2419;-0.19540000000000002;2002-12-10
-0.24300000000000002;-0.199;2002-12-11
-0.2431;-0.2015;2002-12-12
-0.2411;-0.20070000000000002;2002-12-13
-0.2388;-0.2073;2002-12-14
-0.23440000000000003;-0.20750000000000002;2002-12-15
-0.2296;-0.21200000000000002;2002-12-16
-0.231;-0.21200000000000002;2002-12-17
-0.22840000000000002;-0.2132;2002-12-18
-0.2291;-0.21400000000000002;2002-12-19
-0.23140000000000002;-0.2132;2002-12-20
-0.2272;-0.2099;2002-12-21
-0.22710000000000002;-0.2096;2002-12-22
-0.22640000000000002;-0.20750000000000002;2002-12-23
-0.22440000000000002;-0.2048;2002-12-24
-0.22260000000000002;-0.20400000000000001;2002-12-25
-0.2253;-0.2023;2002-12-26
-0.224;-0.20170000000000002;2002-12-27
-0.2255;-0.20270000000000002;2002-12-28
-0.22640000000000002;-0.20040000000000002;2002-12-29
-0.23020000000000002;-0.1945;2002-12-30
-0.2335;-0.1913;2002-12-31
