POINT;MSE_ARIMA;MAE_ARIMA;MAPE_ARIMA;R^2_ARIMA;KS_ARIMA;MSE_HYB;MAE_HYB;MAPE_HYB;R^2_HYB;KS_HYB;MSE_DIF;MAE_DIF;MAPE_DIF;R^2_DIF;KS_DIF;lat;lon
76.04_8.72;0.0003127737396109245;0.013806357019094485;27.756;-0.4149043630641145;8.658554564193033e-15;0.00023635418202242576;0.0119099339593985;25.055;-0.06920281666862693;1.5364444832351852e-06;-7.641955758849874e-05;-0.0018964230596959855;-2.7010000000000005;-0.34570154639548756;1.5364444745766306e-06;76.04;8.72
75.84_8.72;0.00022251737365371058;0.011373351870994287;29.05;-0.10582168758661248;1.2816948298605628e-08;0.00013692071151233566;0.008943330497150221;24.668;0.3195592335825419;8.4241712104857e-06;-8.559666214137492e-05;-0.002430021373844066;-4.3820000000000014;0.21373754599592942;8.411354262187095e-06;75.84;8.72
75.64_8.72;0.0001533351371863286;0.009308080038094637;26.323;0.15105882026223594;0.0009038796581649633;0.00011524514844200826;0.008078288858796405;23.437;0.36194433922523417;7.562515901802559e-05;-3.8089988744320326e-05;-0.0012297911792982317;-2.8859999999999992;0.21088551896299823;-0.0008282544991469377;75.64;8.72
75.44_8.72;0.00017200713404201824;0.009842160695808323;32.949;0.10768785952556759;1.3914233624326494e-06;0.00019225525467647938;0.010674581578949112;34.441;0.0026477752026292656;1.0777231655514948e-06;2.0248120634461133e-05;0.0008324208831407883;1.4920000000000044;-0.10504008432293832;-3.1370019688115454e-07;75.44;8.72
76.44_9.72;0.00032471194208894005;0.014417824152363822;22.264;-0.13396817822096518;3.331729884177142e-13;0.0005452488676076639;0.019036857730265908;29.027;-0.9041334331607462;2.8603797846006955e-18;0.00022053692551872385;0.004619033577902085;6.763000000000002;0.770165254939781;-3.331701280379296e-13;76.44;9.72
76.24_9.72;0.0004222017975702246;0.016520922138942913;24.432;-0.4267847052838578;3.691738920883088e-16;0.0006072239859624715;0.019386915126808766;28.426;-1.0520469141504551;6.194300833167745e-12;0.00018502218839224697;0.002865992987865853;3.9939999999999998;0.6252622088665973;6.193931659275657e-12;76.24;9.72
76.04_9.72;0.00035496423019543415;0.015062049686094805;24.08;-0.5478093022019594;2.3542398803350946e-17;0.00023156405269561292;0.011630544525143076;19.083;-0.009727077628411296;2.0350147455274122e-10;-0.00012340017749982123;-0.003431505160951729;-4.997;-0.5380822245735482;2.035014510103424e-10;76.04;9.72
75.84_9.72;0.0001894564254611486;0.010549545561554206;20.174;-0.00042926827154787794;5.006285375508477e-09;0.00011474577590828126;0.008065946397286586;17.63;0.39408213603864506;0.0002942052744104278;-7.471064955286735e-05;-0.00248359916426762;-2.5440000000000005;0.3936528677670972;0.00029420026812505227;75.84;9.72
75.64_9.72;0.00013274166337773306;0.008765917581734404;22.607;0.24296085280158897;0.004394508379831352;0.00019088358130396434;0.010439147698621034;29.431;-0.08862839237836573;1.9853904576538474e-08;5.814191792623128e-05;0.00167323011688663;6.824000000000002;-0.15433246042322324;-0.0043944885259267754;75.64;9.72
75.44_9.72;0.00023366493197986014;0.012135837674828903;38.582;-0.23010211353120535;7.26175156893348e-13;0.0002760176392006475;0.012882969458236365;39.759;-0.4530630611780233;1.4649522249023349e-08;4.2352707220787335e-05;0.000747131783407462;1.1769999999999996;0.22296094764681795;1.4648796073866455e-08;75.44;9.72
